ID_OLIVO,Variedad,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
1,30-65,3.420821874293966,4.324672909813768,16.88617996168892,6.388532392481731,20.74765673170607,18.97253650450625,3.170246011791141,8.182295412814529,2.247303987741847,15.65975421316171
2,30-65,4.491012423642193,3.692624772293942,24.40481372023809,6.996107269806137,21.21514696370532,13.73070320253933,7.287823889773535,7.04174098771872,1.067418637695478,10.07260813258713
3,30-65,8.524587647543967,2.908305332606716,10.44638723099132,10.31552809168074,8.127515024111096,17.62154006579228,13.99796856588164,18.88788703597811,0.96759301004626,8.20268799536778
4,30-65,9.280830255935905,6.95567507538723,13.51074898775977,10.15624585691416,10.72180417585076,11.95482408583938,9.814584647289331,8.757921658067431,2.40423591479255,16.44312934216369
5,42-61,19.48572081756259,3.982217431021386,10.63859500088232,15.65568175263632,8.113746802834997,12.57138586069478,18.51866256068922,7.41064915982277,0.3929726201872217,3.230367993668365
6,42-61,7.033110672433676,10.15502373143166,14.2465581333356,11.76301937429981,8.449953778163435,9.803718583671007,10.46992448965467,8.021671821311752,5.946832726421534,14.11018668927693
7,42-61,12.39679200943678,4.134203930385773,11.90457001136008,9.7873644052614,8.468402943610544,17.13429662749774,15.89881386797984,11.69145182491553,2.95233567458401,5.631768704967977
8,42-61,9.63930384482394,4.488529180090309,13.95388458694106,8.736296932505521,13.45199592546696,14.53125936309488,17.21835697506982,10.70445926157396,1.10105780873514,6.1748561216982
9,30-24,5.956899481156347,3.45508675367004,23.50233085282879,5.088473020299934,14.8126324648556,15.1160922847536,8.75894856240828,8.073295628404354,1.892210978054108,13.34402997356895
10,30-24,5.105955548596395,4.289383718474079,15.14675554686782,6.988492817204738,25.226955148073,18.65259062950441,4.364077406744876,9.819095799303525,1.179900757652057,9.226792627578805
11,30-24,12.59985424783408,5.177643816572827,17.79970456660747,9.626355208801192,10.44908746575878,15.96923883896207,10.28123095052957,10.86679391418297,2.880554182871037,4.349536807879919
12,30-24,7.215739981086776,3.455989068259999,15.10463587137461,5.54002135548893,9.679731604715117,23.96926496849732,10.40512954238917,11.62249463818556,0.8006490228906343,12.20634394711206
13,33-23,7.109068974772223,5.111826566247777,16.33352811284765,6.28266210735111,14.33145861218428,17.72818461788192,12.07431633316101,7.861620160565773,2.147709005452783,11.01962550953551
14,33-23,8.427719444147588,4.897971408267027,10.90546480460786,8.314981162082312,15.83050591363515,18.82846745428092,10.88724907338413,14.03172898905736,2.969100469102103,4.906811281435361
15,33-23,5.562131311157852,7.120636510522529,13.28195826423161,7.217734459299442,12.13239892255119,19.96283690886613,8.207627442256438,13.31435182642299,3.45853442514104,9.74178992955058
16,33-23,7.543914939141444,4.806461650460407,16.98651886492252,8.13298486127852,10.78062162539725,13.2317275281247,14.77347886159291,9.687704275529013,1.124361190105076,12.93222620344801
17,44-40,6.715334758808796,3.876981733176922,16.51835300611576,8.331002089612136,17.2478535684559,15.91448385084233,9.08671229381528,6.682276005579476,1.480204117318335,14.14679857627518
18,44-40,9.573387438457196,1.943506472544694,18.6328991440381,4.950370859385055,13.01947895501152,22.29604455175217,14.91659683359013,7.165945132372636,0.2350575800552115,7.266713032793468
19,44-40,10.75736686817892,1.722112278727937,19.9595925941062,5.319055359981097,10.99109930789432,11.91324973841602,19.97359370853036,5.012296137220609,0.3196900958084112,14.03194391113629
20,44-40,9.802268865399022,8.886396635780908,10.60249532371847,14.50552180010533,9.447686419248248,13.59160880969747,13.69978091506774,10.35181494074536,3.767591103407702,5.344835186829931
21,42-45,9.457144141176657,6.481736097629463,16.13368788627492,12.02509713561185,20.15317415880088,10.80005860673234,10.03307370395812,8.142601111404755,0.8787839172591853,5.894643241151876
22,42-45,3.740054696542765,2.171003585573565,16.57180601515197,4.274075552896796,26.45377512228667,20.39712976164591,2.674351205308867,5.346366040943161,0.908695333541621,17.46274268610878
23,42-45,4.006290403614635,5.595984890377593,13.49893470262223,7.980224715473187,11.57595860560964,18.83189074443826,3.436339401792215,7.919453959855556,1.055851117607798,26.09907145860881
24,42-45,4.479892141640398,3.425577619316891,15.74875381317535,6.157431228240719,13.19807930801507,15.69252652009529,9.88445119731568,12.68181051995784,0.4600414941370045,18.27143615810563
